"donorID","visitNum","subproject","cell_count"
"1","0","P697-1",2467
"1","12","P697-1",2241
"1","5","P697-1",2216
"1","8","P697-1",1897
"2","10","P697-2",1825
"2","12","P697-2",1661
"2","5","P697-2",1763
"3","0","P697-1",2905
"3","10","P697-1",1891
"3","12","P697-1",2885
"3","5","P697-1",2854
"5","0","P697-1",2474
"5","10","P697-1",1569
"5","12","P697-1",2377
"5","5","P697-1",2066
"6","0","P697-2",564
"6","10","P697-2",585
"6","12","P697-2",602
"6","5","P697-2",627
"7","0","P697-2",2471
"7","10","P697-2",2181
"7","12","P697-2",2678
"7","5","P697-2",2374
"8","0","P697-1",3963
"8","10","P697-1",2281
"8","12","P697-1",3739
"8","5","P697-1",2704
"9","0","P697-2",3316
"9","10","P697-2",874
"9","12","P697-2",3182
"9","4","P697-2",2899
