"htDemux","count"
"Multiplet",1798
"Negative",2605
"Subject 006-0",564
"Subject 006-10",585
"Subject 006-12",602
"Subject 006-5",627
"Subject 007-0",2471
"Subject 007-10",2181
"Subject 007-12",2678
"Subject 007-5",2374
"Subject 009-0",3316
"Subject 009-10",874
"Subject 009-12",3182
"Subject 009-4",2899
"Subject002-10",1825
"Subject002-12",1661
"Subject002-5",1763
